dep,predictors,proportion,m_try,ntree,rmse,r2,n_test
k,clay,0.6,2,100,0.002583461896554862,0.88,1000
k,nitrogen,0.6,2,100,0.002583461896554862,0.88,1000
k,sand,0.6,2,100,0.002583461896554862,0.88,1000
k,silt,0.6,2,100,0.002583461896554862,0.88,1000
k,mean_annual_air_temp_c,0.6,2,100,0.002583461896554862,0.88,1000
k,mean_precip,0.6,2,100,0.002583461896554862,0.88,1000
k,clay,0.6,3,100,0.0018754315513011897,0.94,1000
k,nitrogen,0.6,3,100,0.0018754315513011897,0.94,1000
k,sand,0.6,3,100,0.0018754315513011897,0.94,1000
k,silt,0.6,3,100,0.0018754315513011897,0.94,1000
k,mean_annual_air_temp_c,0.6,3,100,0.0018754315513011897,0.94,1000
k,mean_precip,0.6,3,100,0.0018754315513011897,0.94,1000
k,clay,0.6,4,100,0.0013549759680945596,0.97,1000
k,nitrogen,0.6,4,100,0.0013549759680945596,0.97,1000
k,sand,0.6,4,100,0.0013549759680945596,0.97,1000
k,silt,0.6,4,100,0.0013549759680945596,0.97,1000
k,mean_annual_air_temp_c,0.6,4,100,0.0013549759680945596,0.97,1000
k,mean_precip,0.6,4,100,0.0013549759680945596,0.97,1000
k,clay,0.6,5,100,0.0010031285724270847,0.98,1000
k,nitrogen,0.6,5,100,0.0010031285724270847,0.98,1000
k,sand,0.6,5,100,0.0010031285724270847,0.98,1000
k,silt,0.6,5,100,0.0010031285724270847,0.98,1000
k,mean_annual_air_temp_c,0.6,5,100,0.0010031285724270847,0.98,1000
k,mean_precip,0.6,5,100,0.0010031285724270847,0.98,1000
k,clay,0.6,6,100,7.479852945572355e-4,0.99,1000
k,nitrogen,0.6,6,100,7.479852945572355e-4,0.99,1000
k,sand,0.6,6,100,7.479852945572355e-4,0.99,1000
k,silt,0.6,6,100,7.479852945572355e-4,0.99,1000
k,mean_annual_air_temp_c,0.6,6,100,7.479852945572355e-4,0.99,1000
k,mean_precip,0.6,6,100,7.479852945572355e-4,0.99,1000
k,clay,0.6,2,500,0.002604697355073279,0.88,1000
k,nitrogen,0.6,2,500,0.002604697355073279,0.88,1000
k,sand,0.6,2,500,0.002604697355073279,0.88,1000
k,silt,0.6,2,500,0.002604697355073279,0.88,1000
k,mean_annual_air_temp_c,0.6,2,500,0.002604697355073279,0.88,1000
k,mean_precip,0.6,2,500,0.002604697355073279,0.88,1000
k,clay,0.6,3,500,0.001784243571485495,0.94,1000
k,nitrogen,0.6,3,500,0.001784243571485495,0.94,1000
k,sand,0.6,3,500,0.001784243571485495,0.94,1000
k,silt,0.6,3,500,0.001784243571485495,0.94,1000
k,mean_annual_air_temp_c,0.6,3,500,0.001784243571485495,0.94,1000
k,mean_precip,0.6,3,500,0.001784243571485495,0.94,1000
k,clay,0.6,4,500,0.0012654599921696895,0.97,1000
k,nitrogen,0.6,4,500,0.0012654599921696895,0.97,1000
k,sand,0.6,4,500,0.0012654599921696895,0.97,1000
k,silt,0.6,4,500,0.0012654599921696895,0.97,1000
k,mean_annual_air_temp_c,0.6,4,500,0.0012654599921696895,0.97,1000
k,mean_precip,0.6,4,500,0.0012654599921696895,0.97,1000
k,clay,0.6,5,500,8.796198049823106e-4,0.99,1000
k,nitrogen,0.6,5,500,8.796198049823106e-4,0.99,1000
k,sand,0.6,5,500,8.796198049823106e-4,0.99,1000
k,silt,0.6,5,500,8.796198049823106e-4,0.99,1000
