dep,predictors,proportion,m_try,ntree,rmse,r2,nse,n_test
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,2,100,0.005678677813623307,0.31,0.31142163684809765,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,3,100,0.005713284217603681,0.3,0.3030035400431187,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,4,100,0.005694928449047078,0.31,0.3074749974195251,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,5,100,0.005690297288682841,0.31,0.3086008729468873,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,6,100,0.005786998832777706,0.28,0.2849017699043831,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,2,500,0.005676220363694024,0.31,0.3120174729799473,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,3,500,0.0056765907402598235,0.31,0.31192768755841904,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,4,500,0.0056700956363476655,0.31,0.31350135901727216,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,5,500,0.005701052030566736,0.31,0.30598489502025716,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,6,500,0.005743202179942864,0.3,0.2956846980954345,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,2,1000,0.005675050781275539,0.31,0.31230096069436764,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,3,1000,0.005680798316568514,0.31,0.31090728998334793,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,4,1000,0.005680440462469464,0.31,0.3109941041493218,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,5,1000,0.005700891061242944,0.31,0.3060240855291003,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,6,1000,0.005736049104351109,0.3,0.2974380346648814,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,2,2000,0.005681298273971693,0.31,0.3107859928899369,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,3,2000,0.0056777699917222426,0.31,0.3116417784278288,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,4,2000,0.0056809739030300906,0.31,0.3108646913154087,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,5,2000,0.005699063346731231,0.31,0.3064689937064915,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,6,2000,0.005728533457807416,0.3,0.2992778892826007,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.7,2,100,0.00536989362110911,0.34,0.344331241786355,493
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.7,3,100,0.005306205324562441,0.36,0.3597918063671317,493
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.7,4,100,0.005285511201628233,0.36,0.3647756740029017,493
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.7,5,100,0.005380378614020702,0.34,0.3417682882707862,493
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.7,6,100,0.005401059510400514,0.34,0.3366983907679687,493
