dep,predictors,proportion,m_try,ntree,rmse,r2,n_test
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,2,100,0.005736448527936994,0.3,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,3,100,0.005686001678004397,0.31,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,4,100,0.0057334349598051155,0.3,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,5,100,0.005724226879918515,0.3,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,6,100,0.005727972731736695,0.3,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,2,500,0.005687468056097321,0.31,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,3,500,0.005676342592056215,0.31,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,4,500,0.00568486087215845,0.31,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,5,500,0.005696693501124805,0.31,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,6,500,0.005727153248087605,0.3,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,2,1000,0.005687786401690251,0.31,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,3,1000,0.0056783761007949685,0.31,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,4,1000,0.005691586015029204,0.31,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,5,1000,0.005699732842150726,0.31,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,6,1000,0.005733503706899201,0.3,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,2,2000,0.005689457036232402,0.31,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,3,2000,0.005674336880269919,0.31,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,4,2000,0.0056898090790289,0.31,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,5,2000,0.005696840965464743,0.31,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.6,6,2000,0.00573109929738064,0.3,657
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.7,2,100,0.005390012737412477,0.34,493
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.7,3,100,0.005331702743726768,0.35,493
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c,mean_precip",0.7,4,100,0.005382312701125435,0.34,493
