dep,predictors,proportion,m_try,ntree,rmse,r2,n_test
k,clay,0.6,2,100,4.756047072895252e-4,1,1000
k,nitrogen,0.6,2,100,5.141945974955444e-4,1,1000
k,sand,0.6,2,100,5.230458656666491e-4,1,1000
k,silt,0.6,2,100,4.63476311087569e-4,1,1000
k,mean_annual_air_temp_c,0.6,2,100,4.7580278611081706e-4,1,1000
k,mean_precip,0.6,2,100,4.72136033279889e-4,1,1000
k,clay,0.6,3,100,4.756047072895252e-4,1,1000
k,nitrogen,0.6,3,100,5.141945974955444e-4,1,1000
k,sand,0.6,3,100,5.230458656666491e-4,1,1000
k,silt,0.6,3,100,4.63476311087569e-4,1,1000
k,mean_annual_air_temp_c,0.6,3,100,4.7580278611081706e-4,1,1000
k,mean_precip,0.6,3,100,4.72136033279889e-4,1,1000
k,clay,0.6,4,100,4.756047072895252e-4,1,1000
k,nitrogen,0.6,4,100,5.141945974955444e-4,1,1000
k,sand,0.6,4,100,5.230458656666491e-4,1,1000
k,silt,0.6,4,100,4.63476311087569e-4,1,1000
k,mean_annual_air_temp_c,0.6,4,100,4.7580278611081706e-4,1,1000
k,mean_precip,0.6,4,100,4.72136033279889e-4,1,1000
k,clay,0.6,5,100,4.756047072895252e-4,1,1000
k,nitrogen,0.6,5,100,5.141945974955444e-4,1,1000
k,sand,0.6,5,100,5.230458656666491e-4,1,1000
k,silt,0.6,5,100,4.63476311087569e-4,1,1000
k,mean_annual_air_temp_c,0.6,5,100,4.7580278611081706e-4,1,1000
k,mean_precip,0.6,5,100,4.72136033279889e-4,1,1000
k,clay,0.6,6,100,4.756047072895252e-4,1,1000
k,nitrogen,0.6,6,100,5.141945974955444e-4,1,1000
k,sand,0.6,6,100,5.230458656666491e-4,1,1000
k,silt,0.6,6,100,4.63476311087569e-4,1,1000
k,mean_annual_air_temp_c,0.6,6,100,4.7580278611081706e-4,1,1000
k,mean_precip,0.6,6,100,4.72136033279889e-4,1,1000
k,clay,0.6,2,500,5.062871714550882e-4,1,1000
k,nitrogen,0.6,2,500,5.088330330748815e-4,1,1000
k,sand,0.6,2,500,5.487909064160249e-4,0.99,1000
k,silt,0.6,2,500,4.6337406987822274e-4,1,1000
k,mean_annual_air_temp_c,0.6,2,500,4.5275373530703615e-4,1,1000
k,mean_precip,0.6,2,500,4.5177892312320495e-4,1,1000
k,clay,0.6,3,500,5.062871714550882e-4,1,1000
k,nitrogen,0.6,3,500,5.088330330748815e-4,1,1000
k,sand,0.6,3,500,5.487909064160249e-4,0.99,1000
k,silt,0.6,3,500,4.6337406987822274e-4,1,1000
k,mean_annual_air_temp_c,0.6,3,500,4.5275373530703615e-4,1,1000
k,mean_precip,0.6,3,500,4.5177892312320495e-4,1,1000
k,clay,0.6,4,500,5.062871714550882e-4,1,1000
k,nitrogen,0.6,4,500,5.088330330748815e-4,1,1000
k,sand,0.6,4,500,5.487909064160249e-4,0.99,1000
k,silt,0.6,4,500,4.6337406987822274e-4,1,1000
k,mean_annual_air_temp_c,0.6,4,500,4.5275373530703615e-4,1,1000
k,mean_precip,0.6,4,500,4.5177892312320495e-4,1,1000
k,clay,0.6,5,500,5.062871714550882e-4,1,1000
k,nitrogen,0.6,5,500,5.088330330748815e-4,1,1000
k,sand,0.6,5,500,5.487909064160249e-4,0.99,1000
k,silt,0.6,5,500,4.6337406987822274e-4,1,1000
k,mean_annual_air_temp_c,0.6,5,500,4.5275373530703615e-4,1,1000
k,mean_precip,0.6,5,500,4.5177892312320495e-4,1,1000
k,clay,0.6,6,500,5.062871714550882e-4,1,1000
k,nitrogen,0.6,6,500,5.088330330748815e-4,1,1000
k,sand,0.6,6,500,5.487909064160249e-4,0.99,1000
k,silt,0.6,6,500,4.6337406987822274e-4,1,1000
k,mean_annual_air_temp_c,0.6,6,500,4.5275373530703615e-4,1,1000
k,mean_precip,0.6,6,500,4.5177892312320495e-4,1,1000
k,clay,0.6,2,1000,5.13565406183113e-4,1,1000
k,nitrogen,0.6,2,1000,5.184104913122235e-4,1,1000
k,sand,0.6,2,1000,5.584974861829984e-4,0.99,1000
k,silt,0.6,2,1000,4.692330353465917e-4,1,1000
k,mean_annual_air_temp_c,0.6,2,1000,4.491571591026111e-4,1,1000
k,mean_precip,0.6,2,1000,4.53982652591276e-4,1,1000
k,clay,0.6,3,1000,5.13565406183113e-4,1,1000
k,nitrogen,0.6,3,1000,5.184104913122235e-4,1,1000
k,sand,0.6,3,1000,5.584974861829984e-4,0.99,1000
k,silt,0.6,3,1000,4.692330353465917e-4,1,1000
k,mean_annual_air_temp_c,0.6,3,1000,4.491571591026111e-4,1,1000
k,mean_precip,0.6,3,1000,4.53982652591276e-4,1,1000
k,clay,0.6,4,1000,5.13565406183113e-4,1,1000
k,nitrogen,0.6,4,1000,5.184104913122235e-4,1,1000
k,sand,0.6,4,1000,5.584974861829984e-4,0.99,1000
k,silt,0.6,4,1000,4.692330353465917e-4,1,1000
k,mean_annual_air_temp_c,0.6,4,1000,4.491571591026111e-4,1,1000
k,mean_precip,0.6,4,1000,4.53982652591276e-4,1,1000
k,clay,0.6,5,1000,5.13565406183113e-4,1,1000
k,nitrogen,0.6,5,1000,5.184104913122235e-4,1,1000
k,sand,0.6,5,1000,5.584974861829984e-4,0.99,1000
k,silt,0.6,5,1000,4.692330353465917e-4,1,1000
k,mean_annual_air_temp_c,0.6,5,1000,4.491571591026111e-4,1,1000
k,mean_precip,0.6,5,1000,4.53982652591276e-4,1,1000
k,clay,0.6,6,1000,5.13565406183113e-4,1,1000
k,nitrogen,0.6,6,1000,5.184104913122235e-4,1,1000
k,sand,0.6,6,1000,5.584974861829984e-4,0.99,1000
k,silt,0.6,6,1000,4.692330353465917e-4,1,1000
k,mean_annual_air_temp_c,0.6,6,1000,4.491571591026111e-4,1,1000
k,mean_precip,0.6,6,1000,4.53982652591276e-4,1,1000
k,clay,0.6,2,2000,5.166406641016382e-4,1,1000
